UnitNum,Level,Type,Reserved
1,1,G,1
2,1,F,0
3,1,E,0
4,1,D,0
5,1,C,0
6,2,G,1
7,2,F,1
8,2,E,0
9,2,D,0
10,2,C,0
11,2,B,1
12,2,A,1
13,3,G,1
14,3,F,1
15,3,E,1
16,3,D,0
17,3,C,0
18,3,B,1
19,3,A,1
20,4,G,1
21,4,F,1
22,4,E,1
23,4,D,0
24,4,C,0
25,4,B,1
26,4,A,1
27,5,G,1
28,5,F,1
29,5,E,1
30,5,D,0
31,5,C,0
32,5,B,1
33,5,A,1
34,6,G,1
35,6,F,1
36,6,E,0
37,6,D,0
38,6,C,0
39,6,B,1
40,6,A,1
41,7,G,1
42,7,F,1
43,7,E,1
44,7,D,1
45,7,C,0
46,7,B,1
47,7,A,1
48,8,G,1
49,8,F,1
50,8,E,1
51,8,D,1
52,8,C,1
53,8,B,1
54,8,A,1
55,9,G,1
56,9,F,1
57,9,E,1
58,9,D,1
59,9,C,1
60,9,B,1
61,9,A,1
62,10,G,1
63,10,F,1
64,10,E,1
65,10,D,1
66,10,C,1
67,10,B,1
68,10,A,1
69,11,G,1
70,11,F,1
71,11,E,1
72,11,D,1
73,11,C,1
74,11,B,1
75,11,A,1
76,12,G,1
77,12,F,1
78,12,E,1
79,12,D,1
80,12,C,1
81,12,B,1
82,12,A,1
83,13,G,1
84,13,F,1
85,13,E,1
86,13,D,1
87,13,C,1
88,13,B,0
89,13,A,1
90,14,G,1
91,14,F,1
92,14,E,1
93,14,D,1
94,14,C,0
95,14,B,1
96,14,A,1
97,15,G,1
98,15,F,1
99,15,E,1
100,15,D,1
101,15,C,0
102,15,B,1
103,15,A,1
104,16,G,1
105,16,F,1
106,16,E,1
107,16,D,1
108,16,C,1
109,16,B,2
110,16,A,1
111,17,G,1
112,17,F,1
113,17,E,1
114,17,D,1
115,17,C,0
116,17,B,1
117,17,A,1
118,18,G,1
119,18,F,1
120,18,E,1
121,18,D,1
122,18,C,1
123,18,B,1
124,18,A,1
125,19,G,1
126,19,F,1
127,19,E,1
128,19,D,1
129,19,C,1
130,19,B,1
131,19,A,1
132,20,G,1
133,20,F,1
134,20,E,1
135,20,D,1
136,20,C,1
137,20,B,1
138,20,A,1
139,21,G,2
140,21,F,1
141,21,E,1
142,21,D,1
143,21,C,0
144,21,B,1
145,21,A,0
146,22,G,1
147,22,F,1
148,22,E,1
149,22,D,1
150,22,C,1
151,22,B,1
152,22,A,1
153,23,G,1
154,23,F,1
155,23,E,1
156,23,D,1
157,23,C,1
158,23,B,1
159,23,A,0
160,24,G,0
161,24,F,1
162,24,E,1
163,24,D,1
164,24,C,1
165,24,B,1
166,24,A,0
167,25,G,0
168,25,F,1
169,25,E,1
170,25,D,1
171,25,C,1
172,25,B,0
173,25,A,0
174,26,G,0
175,26,F,0
176,26,E,0
177,26,D,1
178,26,C,1
179,26,B,0
180,26,A,0
181,27,G,0
182,27,F,1
183,27,E,0
184,27,D,1
185,27,C,0
186,27,B,0
187,27,A,0
188,28,G,0
189,28,F,1
190,28,E,0
191,28,D,1
192,28,C,1
193,28,B,0
194,28,A,0
195,29,G,1
196,29,F,1
197,29,E,0
198,29,D,1
199,29,C,0
200,29,B,0
201,29,A,0
202,30,G,1
203,30,F,1
204,30,E,0
205,30,D,1
206,30,C,1
207,30,B,0
208,30,A,0
209,31,G,0
210,31,F,1
211,31,E,0
212,31,D,1
213,31,C,1
214,31,B,0
215,31,A,0
216,32,G,0
217,32,F,0
218,32,E,0
219,32,D,1
220,32,C,1
221,32,B,0
222,32,A,0
223,33,G,0
224,33,F,0
225,33,E,0
226,33,D,1
227,33,C,0
228,33,B,0
229,33,A,0
230,34,G,0
231,34,F,0
232,34,E,1
233,34,D,1
234,34,C,1
235,34,B,0
236,34,A,0
237,35,G,0
238,35,F,0
239,35,E,0
240,35,D,1
241,35,C,0
242,35,B,0
243,35,A,0
244,36,G,0
245,36,F,0
246,36,E,0
247,36,D,0
248,36,C,0
249,36,B,0
250,36,A,0
251,37,G,0
252,37,F,0
253,37,E,0
254,37,D,0
255,37,C,0
256,37,B,0
257,37,A,0
258,38,G,0
259,38,F,0
260,38,E,0
261,38,D,0
262,38,C,0
263,38,B,0
264,38,A,0
265,39,G,0
266,39,F,0
267,39,E,0
268,39,D,0
269,39,C,0
270,39,B,0
271,39,A,0
272,40,G,0
273,40,F,0
274,40,E,0
275,40,D,1
276,40,C,0
277,40,B,0
278,40,A,0
279,41,G,0
280,41,F,0
281,41,E,0
282,41,D,0
283,41,C,0
284,41,B,0
285,41,A,0
286,42,G,0
287,42,F,0
288,42,E,0
289,42,D,0
290,42,C,0
291,42,B,0
292,42,A,0
293,43,G,0
294,43,F,0
295,43,E,0
296,43,D,0
297,43,C,0
298,43,B,0
299,43,A,0
300,44,G,0
301,44,F,0
302,44,E,0
303,44,D,0
304,44,C,0
305,44,B,0
306,44,A,0
307,45,G,0
308,45,F,0
309,45,E,0
310,45,D,1
311,45,C,0
312,45,B,0
313,45,A,0
314,46,G,0
315,46,F,0
316,46,E,0
317,46,D,1
318,46,C,0
319,46,B,0
320,46,A,0
321,47,G,0
322,47,F,0
323,47,E,0
324,47,D,1
325,47,C,0
326,47,B,0
327,47,A,0
328,48,G,0
329,48,F,0
330,48,E,0
331,48,D,0
332,48,C,0
333,48,B,0
334,48,A,0
335,49,Apartment,2
336,49,MiniPenthouse,2
337,49,MiniPenthouse,2
338,49,Apartment,2
339,50,Apartment,2
340,50,MiniPenthouse,2
341,50,MiniPenthouse,2
342,50,Apartment,2
343,51,Apartment,2
344,51,MiniPenthouse,2
345,51,MiniPenthouse,2
346,51,Apartment,2
347,52,Apartment,2
348,52,MiniPenthouse,2
349,52,MiniPenthouse,2
350,52,Apartment,2
351,53,Penthouse,2
